Date,WALCL,ON_RRP,TGA,Net_Liquidity
2024-04-03,7439558.0,436.631,768.651,7438352.718
2024-04-04,7439558.0,438.764,768.651,7438350.585
2024-04-05,7439558.0,438.319,768.651,7438351.03
2024-04-08,7439558.0,448.597,768.651,7438340.752
2024-04-09,7439558.0,441.792,768.651,7438347.557
2024-04-10,7438176.0,445.816,704.971,7437025.213
2024-04-11,7438176.0,455.361,704.971,7437015.668
2024-04-12,7438176.0,407.322,704.971,7437063.707
2024-04-15,7438176.0,327.066,704.971,7437143.963
2024-04-16,7438176.0,371.554,704.971,7437099.475000001
2024-04-17,7405506.0,440.508,796.535,7404268.956999999
2024-04-18,7405506.0,433.006,796.535,7404276.459
2024-04-19,7405506.0,397.234,796.535,7404312.231
2024-04-22,7405506.0,409.816,796.535,7404299.649
2024-04-23,7405506.0,435.88,796.535,7404273.585
2024-04-24,7402434.0,441.215,941.43,7401051.355
2024-04-25,7402434.0,443.928,941.43,7401048.642
2024-04-26,7402434.0,464.912,941.43,7401027.658000001
2024-04-29,7402434.0,505.53,941.43,7400987.04
2024-04-30,7402434.0,534.234,941.43,7400958.336
2024-05-01,7362474.0,438.148,917.177,7361118.675
2024-05-02,7362474.0,428.68,917.177,7361128.143
2024-05-03,7362474.0,450.165,917.177,7361106.658
2024-05-06,7362474.0,468.97,917.177,7361087.853
2024-05-07,7362474.0,475.325,917.177,7361081.498
2024-05-08,7353408.0,493.427,851.591,7352062.982
2024-05-09,7353408.0,458.55,851.591,7352097.859
2024-05-10,7353408.0,486.434,851.591,7352069.975
2024-05-13,7353408.0,492.068,851.591,7352064.341
2024-05-14,7353408.0,468.344,851.591,7352088.065
2024-05-15,7304272.0,443.779,787.133,7303041.087999999
2024-05-16,7304272.0,410.121,787.133,7303074.745999999
2024-05-17,7304272.0,449.373,787.133,7303035.494
2024-05-20,7304272.0,489.728,787.133,7302995.138999999
2024-05-21,7304272.0,491.72,787.133,7302993.147
2024-05-22,7299566.0,496.382,725.376,7298344.242
2024-05-23,7299566.0,467.398,725.376,7298373.226
2024-05-24,7299566.0,431.239,725.376,7298409.385
2024-05-27,7299566.0,431.239,725.376,7298409.385
2024-05-28,7299566.0,417.836,725.376,7298422.788
2024-05-29,7284319.0,459.314,704.335,7283155.351
2024-05-30,7284319.0,452.034,704.335,7283162.631
2024-05-31,7284319.0,439.806,704.335,7283174.859
2024-06-03,7284319.0,387.069,704.335,7283227.596
2024-06-04,7284319.0,377.825,704.335,7283236.84
2024-06-05,7255687.0,371.841,710.309,7254604.85
2024-06-06,7255687.0,378.125,710.309,7254598.566
2024-06-07,7255687.0,395.462,710.309,7254581.228999999
2024-06-10,7255687.0,416.481,710.309,7254560.21
2024-06-11,7255687.0,410.449,710.309,7254566.242
2024-06-12,7258974.0,447.574,673.573,7257852.853
2024-06-13,7258974.0,429.864,673.573,7257870.563
2024-06-14,7258974.0,386.885,673.573,7257913.542
2024-06-17,7258974.0,333.429,673.573,7257966.998000001
2024-06-18,7258974.0,375.542,673.573,7257924.885
2024-06-19,7252542.0,375.542,723.41,7251443.047999999
2024-06-20,7252542.0,388.841,723.41,7251429.749
2024-06-21,7252542.0,421.04,723.41,7251397.55
2024-06-24,7252542.0,435.916,723.41,7251382.674
2024-06-25,7252542.0,466.31,723.41,7251352.28
2024-06-26,7231163.0,490.156,765.417,7229907.426999999
2024-06-27,7231163.0,531.692,765.417,7229865.891
2024-06-28,7231163.0,664.57,765.417,7229733.012999999
2024-07-01,7231163.0,451.783,765.417,7229945.8
2024-07-02,7231163.0,443.369,765.417,7229954.214
2024-07-03,7221520.0,425.898,761.373,7220332.729
2024-07-04,7221520.0,425.898,761.373,7220332.729
2024-07-05,7221520.0,390.632,761.373,7220367.995
2024-07-08,7221520.0,415.257,761.373,7220343.37
2024-07-09,7221520.0,423.152,761.373,7220335.475000001
2024-07-10,7224079.0,422.147,736.402,7222920.451
2024-07-11,7224079.0,403.708,736.402,7222938.890000001
